Incidence;REC-ID;EXPERT-ID;VersionDateDDMMYY;XLS-Row-No;LOT-SampleCode;T_RECORDS_CollectorSampleCode;Genus;SpecificEpithet;Species;TAXON-ID;Authority;Males;Females;Unsexed;AbundanceQualifier;Abundance;ReproductiveStatus;ID_Doubtful;Remarks;SubFamily;Family;Order;Class;Phylum;Kingdom;Determined_By;Determined_Date;T_RECORDS_RecDate;LOT-Project;TMP_T_RECORDS-FlatFile_SamplePrefix;TMP_T_RECORDS-FlatFile_ProtocolNumber;TMP_T_RECORDS-FlatFile_SampleNumber;TMP_T_RECORDS-FlatFile_Old-SampleCode;METH-ID;Method;TMP_T_RECORDS-FlatFile_SampleDetails;TMP_T_RECORDS-FlatFile_MainSample;TMP_T_RECORDS-FlatFile_MainSampleCode;SubsampleLetter;SubSampleType;LOT-SampleParent;TreeZone;BranchColor;Horizontal Distance;AZ;HAGL;HD (Corrected);X;Y;Z Height above ground (m);Diameter(cm);SampleOrientation;Plot;TREE-PART;EPIPHYTE-TYPE;CollectedOutsideTheTree;GRP-ID;SubprojectName;DateStarted;DateEnded;DateRange;Replicate;SampleParticipant;CollectedBy;T_LOT-SUB-SAMPLES_CollectorSampleCode;Site;LatLongTree;ElevationTree;ElevationSample;SampleNotes;PERMIT-TYPE;UnitOfMeasurement-ES;Condicion;Exported;Deposited;T_LOT-SUB-SAMPLES_RecBy;T_LOT-SUB-SAMPLES_RecDate;T_LOT-SUB-SAMPLES_UpdBy;T_LOT-SUB-SAMPLES_UpdDate;LatitudeDec;LongitudeDec;Ellipsoidal height;SubSampleCode;SubProtocolNumber;SubProtocolName;BranchColor-ID;LOT-SamplesCodeColor;LOT-SamplesCodeColorOrientation;ParentSampleNumber;SampleParent;FlagUsedAsRef;Protocol
1;"ValenzuelL;12/09/2024#00234";92;9/12/24;234;LOT02-18654/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;18;54;;45;Epiphyte collection;;0;LOT02-18654;O;Observation;LOT02-18654;6;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00233";92;9/12/24;233;LOT02-18247/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;18;47;;45;Epiphyte collection;;0;LOT02-18247;O;Observation;LOT02-18247;2;;;;;;;;;;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00228";92;9/12/24;228;LOT02-213117/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;21;117;;45;Epiphyte collection;;0;LOT02-213117;O;Observation;LOT02-213117;3;;;;;;;;;;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00227";92;9/12/24;227;LOT02-18596/O;;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Observación, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;18;96;;45;Epiphyte collection;;0;LOT02-18596;O;Observation;LOT02-18596;5;;;;;;;;;;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00496";92;9/12/24;496;LOT02-45539/P;43916;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Herborizada, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;45;39;LOT02-45039/P;45;Epiphyte collection;Epiphyte collection 39;0;;P;Epiphyte collection MHN-P;LOT02-18503;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43916;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;-1;0;51;;;;;;;;;;;LOT02-45048;;0;;;
1;"ValenzuelL;12/09/2024#00489";92;9/12/24;489;LOT02-45539/H;43916;Acronia;cordifolia;Acronia cordifolia;21;(Rchb. f. & Wagener) Luer;;;;;1;;;Herborizada, 2023051812-02-13;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Rchb. f. & Wagener) Luer;;1/18/26 14:05;LOT02;LOT02;45;39;LOT02-45039/H;45;Epiphyte collection;Epiphyte collection 39;0;;H;Epiphyte collection HOXA;LOT02-18503;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43916;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-45047;;0;;;
1;"ValenzuelL;12/09/2024#00209";92;9/12/24;209;LOT02-455148/P;44011;Acronia;matudana;Acronia matudana;22;(C. Schweinf.) Luer;;;;;1;;;Herborizada, 2023051608-07-25;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(C. Schweinf.) Luer;;1/18/26 14:05;LOT02;;;;;;Epiphyte collection;;0;;P;Epiphyte collection MHN-P;LOT02-21536;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG44011;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;-1;0;51;;;;;;;;;;;LOT02-450186;;0;;;
1;"ValenzuelL;12/09/2024#00208";92;9/12/24;208;LOT02-455148/H;44011;Acronia;matudana;Acronia matudana;22;(C. Schweinf.) Luer;;;;;1;;;Herborizada, 2023051608-07-25;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(C. Schweinf.) Luer;;1/18/26 14:05;LOT02;;;;;;Epiphyte collection;;0;;H;Epiphyte collection HOXA;LOT02-21536;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG44011;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-450185;;0;;;
1;"ValenzuelL;12/09/2024#00236";92;9/12/24;236;LOT02-18513/O;;Acronia;matudana;Acronia matudana;22;(C. Schweinf.) Luer;;;;;1;;;Observación, 2023051608-07-25;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(C. Schweinf.) Luer;;1/18/26 14:05;LOT02;LOT02;18;13;;45;Epiphyte collection;;0;LOT02-18513;O;Observation;LOT02-18513;5;;;;;;0;0;0;0;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00100";92;9/12/24;100;LOT02-455113/H;43976;Acronia;matudana;Acronia matudana;22;(C. Schweinf.) Luer;;;;;1;;;Herborizada, 2023051608-07-25;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(C. Schweinf.) Luer;;1/18/26 14:05;LOT02;LOT02;45;113;LOT02-450113/H;45;Epiphyte collection;Epiphyte collection 113;0;;H;Epiphyte collection HOXA;LOT02-21514;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43976;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-450137;;0;;;
1;"ValenzuelL;12/09/2024#00488";92;9/12/24;488;LOT02-45538/P;43915;Acronia;matudana;Acronia matudana;22;(C. Schweinf.) Luer;;;;;1;;;Herborizada, 2023051608-07-25;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(C. Schweinf.) Luer;;1/18/26 14:05;LOT02;LOT02;45;38;LOT02-45038/P;45;Epiphyte collection;Epiphyte collection 38;0;;P;Epiphyte collection MHN-P;LOT02-18546;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43915;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;-1;0;51;;;;;;;;;;;LOT02-45046;;0;;;
1;"ValenzuelL;12/09/2024#00486";92;9/12/24;486;LOT02-45537/H;43915;Acronia;matudana;Acronia matudana;22;(C. Schweinf.) Luer;;;;;1;;;Herborizada, 2023051608-07-25;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(C. Schweinf.) Luer;;1/18/26 14:05;LOT02;LOT02;45;37;LOT02-45037/H;45;Epiphyte collection;Epiphyte collection 37;0;;H;Epiphyte collection HOXA;LOT02-18522;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43915;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-45045;;0;;;
1;"ValenzuelL;12/09/2024#00242";92;9/12/24;242;LOT02-18689/O;;Acronia;oxapampae;Acronia oxapampae;23;(Luer) Luer;;;;;2;;;Observación, 2023051812-08-43;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Luer) Luer;;1/18/26 14:05;LOT02;LOT02;18;89;;45;Epiphyte collection;;0;LOT02-18689;O;Observation;LOT02-18689;6;;;;;;;;;;;;;;0;15;Life On Trees-Amazon Andes 2024B;;;;0;;;;La Isla Escondida RN;0.65547° N, 77.07302° W;;850;;;;;0;0;1;10/19/25 15:47;1;10/19/25 15:47;;;;;;;;;;0;;0;
1;"ValenzuelL;12/09/2024#00094";92;9/12/24;94;LOT02-455110/H;43974;Acronia;oxapampae;Acronia oxapampae;23;(Luer) Luer;;;;;1;;;Herborizada, 2023051812-08-43;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Luer) Luer;;1/18/26 14:05;LOT02;LOT02;45;110;LOT02-450110/H;45;Epiphyte collection;Epiphyte collection 110;0;;H;Epiphyte collection HOXA;LOT02-21505;5;;;;;;0;0;0;;;;;7;0;11;Life On Trees-Andes 2023A;;;;0;50;Pascal & Valenzuela;LVG43974;PN Yanachaga-Chemillén;10.54584 S, 75.35741 W;2400;0;;;17;;0;-1;51;;;;;;;;;;;LOT02-450134;;0;;;
1;"ValenzuelL;12/09/2024#00780";92;9/12/24;780;LOT01-3473/H1;;Acronia;phyllocardioides;Acronia phyllocardioides;24;(Schltr.) Luer;;;;;1;;;Planta seca;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Schltr.) Luer;;1/18/26 14:05;LOT01;LOT01;11;73;;45;Epiphyte collection;Epiphyte #73;0;;H1;Herbarium part 1- USM;LOT01-3473;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;0;-1;1;9/5/22 10:50;;;;;;;;;;;;0;3473;0;
1;"ValenzuelL;12/09/2024#00779";92;9/12/24;779;LOT01-3473/A;;Acronia;phyllocardioides;Acronia phyllocardioides;24;(Schltr.) Luer;;;;;1;;;flores en alcohol;;Orchidaceae;Asparagales;Monocots;Tracheophyta;Plantae;(Schltr.) Luer;;1/18/26 14:05;LOT01;LOT01;11;73;;45;Epiphyte collection;Epiphyte #73;0;;A;Alcohol sample;LOT01-3473;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;0;-1;1;9/5/22 10:50;;;;;;;;;;;;0;3473;0;
1;"ValenzuelL;12/09/2024#00773";92;9/12/24;773;LOT01-3469/H1;;Aechmea;contracta;Aechmea contracta;25;(Mart. ex Schult. f.) Baker;;;;;1;;;Planta seca;;Bromeliaceae;Poales;Monocots;Tracheophyta;Plantae;(Mart. ex Schult. f.) Baker;;1/18/26 14:05;LOT01;LOT01;11;69;;45;Epiphyte collection;Epiphyte #69;0;;H1;Herbarium part 1- USM;LOT01-3469;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;0;-1;1;9/5/22 10:50;;;;;;;;;;;;0;3469;0;
1;"ValenzuelL;12/09/2024#00709";92;9/12/24;709;LOT01-3433/H1;;Aechmea;mertensii;Aechmea mertensii;26;(G. Mey.) Schult. & Schult. f.;;;;;1;;;Planta seca;;Bromeliaceae;Poales;Monocots;Tracheophyta;Plantae;(G. Mey.) Schult. & Schult. f.;;1/18/26 14:05;LOT01;LOT01;11;33;;45;Epiphyte collection;Epiphyte #33;0;;H1;Herbarium part 1- USM;LOT01-3433;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;0;-1;1;9/5/22 10:50;;;;;;;;;;;;0;3433;0;
1;"ValenzuelL;12/09/2024#00710";92;9/12/24;710;LOT01-3433/H2;;Aechmea;mertensii;Aechmea mertensii;26;(G. Mey.) Schult. & Schult. f.;;;;;1;;;Planta seca;;Bromeliaceae;Poales;Monocots;Tracheophyta;Plantae;(G. Mey.) Schult. & Schult. f.;;1/18/26 14:05;LOT01;LOT01;11;33;;45;Epiphyte collection;Epiphyte #33;0;;H2;Herbarium part 2 -Paris;LOT01-3433;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;-1;0;1;9/5/22 10:50;;;;;;;;;;;;0;3433;0;
1;"ValenzuelL;12/09/2024#00784";92;9/12/24;784;LOT01-3476/H1;;Aechmea;pyramidalis;Aechmea pyramidalis;27;Benth.;;;;;1;;;Planta seca;;Bromeliaceae;Poales;Monocots;Tracheophyta;Plantae;Benth.;;1/18/26 14:05;LOT01;LOT01;11;76;;45;Epiphyte collection;Epiphyte #76;0;;H1;Herbarium part 1- USM;LOT01-3476;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;0;-1;1;9/5/22 10:50;;;;;;;;;;;;0;3476;0;
1;"ValenzuelL;12/09/2024#00724";92;9/12/24;724;LOT01-3440/H2;;Aechmea;retusa;Aechmea retusa;28;L.B. Sm.;;;;;1;;;Planta seca;;Bromeliaceae;Poales;Monocots;Tracheophyta;Plantae;L.B. Sm.;;1/18/26 14:05;LOT01;LOT01;11;40;;45;Epiphyte collection;Epiphyte #40;0;;H2;Herbarium part 2 -Paris;LOT01-3440;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;-1;0;1;9/5/22 10:50;;;;;;;;;;;;0;3440;0;
1;"ValenzuelL;12/09/2024#00723";92;9/12/24;723;LOT01-3440/H1;;Aechmea;retusa;Aechmea retusa;28;L.B. Sm.;;;;;1;;;Planta seca;;Bromeliaceae;Poales;Monocots;Tracheophyta;Plantae;L.B. Sm.;;1/18/26 14:05;LOT01;LOT01;11;40;;45;Epiphyte collection;Epiphyte #40;0;;H1;Herbarium part 1- USM;LOT01-3440;0;;;;;;0;0;0;0;;;;7;0;7;Abiseo3 Sept.-Oct. 2022;9/4/22;9/11/22;04-11.ix.22;0;38;Coll by Pillaca, Pascal, Leroy;;PN Rio Abiseo;7°26'52.39''S, 76°55'21.030''W;400;;;;;;0;-1;1;9/5/22 10:50;;;;;;;;;;;;0;3440;0;
1;"CastroC;25/08/2025#00230";104;8/25/25;230;LOT03-455113/H;3363;Aechmea;tessmannii;Aechmea tessmannii;29;Harms;;;;;1;Fertile voucher;;"Fertile voucher; ; ";;Bromeliaceae;Poales;Magnoliopsida;Magnoliophyta;Plantae;Cristian Castro;8/14/25;1/18/26 14:05;LOT03;LOT03;45;113;;45;Epiphyte collection;Angiosperm epiphyte;0;;H;Angiosperm epiphyte FMB;LOT03-10514;5;r;11,2;82;24;11 865;1 651;11,75;24;15;;;;7;0;14;Life On Trees-Amazon Andes 2024A;2/4/24;2/4/24;31.i-06.ii.2024;0;54;Castro et al.;3363;RN La Isla Escondida;0.65547° N, 77.07302° W;850;850;;4;34;19;0;-1;51;5/3/24 12:21;;;;;;;;;;;;14;;0;
1;"CastroC;25/08/2025#00163";104;8/25/25;163;LOT03-45598/P;3348;Aechmea;tessmannii;Aechmea tessmannii;29;Harms;;;;;1;Sterile voucher;;"Sterile voucher; ; ";;Bromeliaceae;Poales;Magnoliopsida;Magnoliophyta;Plantae;Cristian Castro;8/14/25;1/18/26 14:05;LOT03;LOT03;45;98;;45;Epiphyte collection;Angiosperm epiphyte;0;;P;Angiosperm epiphyte NMHN;LOT03-10512;5;r;11,2;82;24;11 865;1 651;11,75;24;15;;;;7;0;14;Life On Trees-Amazon Andes 2024A;2/3/24;2/3/24;31.i-06.ii.2024;0;54;Castro et al.;3348;RN La Isla Escondida;0.65547° N, 77.07302° W;850;850;;4;35;19;0;0;51;5/3/24 12:21;;;;;;;;;;;;12;;0;
